CaCO3, 8,0,0,0,11,0
NaHCO3, 0,0,11,0,0,27
CaSO4, 9,0,0,21,0,0
CaCl, 10,0,0,0,0,18
MgSO4, 0,4,0,15,0,0
NaCl, 0,0,15,0,0,23

